state,fiscal_year,value,agency,bureau,program
South Dakota,2018,6808,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Tennessee,2018,62216,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Texas,2018,287679,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Utah,2018,31913,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Vermont,2018,3591,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Virginia,2018,53214,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Washington,2018,48074,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
West Virginia,2018,17027,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Wisconsin,2018,41639,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Wyoming,2018,3541,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Alabama,2016,43302,Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance Program
Alaska,2016,10224,Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance Program
Arizona,2016,20108,Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance Program
Arkansas,2016,27866,Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance Program
California,2016,176562,Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance Program
Colorado,2016,49021,Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance Program
Connecticut,2016,80714,Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance Program
Delaware,2016,12577,Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance Program
District of Columbia,2016,10391,Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance Program
Florida,2016,68916,Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance Program
Georgia,2016,54497,Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance Program
